Time (s),Height (mm)
0,1.357941
0.001,1.3191427
0.002,1.357941
0.003,1.357941
0.004,1.3967393
0.005,1.474336
0.006,1.5519326
0.007,1.5907309
0.008,1.6683275
0.009,1.6295292
0.01,1.6683275
0.011,1.7071258
0.012,1.7847225
0.013,1.8623191
0.014,1.9399157
0.015,2.0175124
0.016,2.095109
0.017,2.1727056
0.018,2.2891006
0.019,2.4054955
0.02,2.5606888
0.021,2.6770837
0.022,2.832277
0.023,3.0262685
0.024,3.1814618
0.025,3.3366551
0.026,3.4918483
0.027,3.6470416
0.028,3.8410332
0.029,3.9962264
0.03,4.190218
0.031,4.3842096
0.032,4.5782011
0.033,4.7333944
0.034,4.9661843
0.035,5.1213775
0.036,5.2765708
0.037,5.4317641
0.038,5.5869573
0.039,5.7809489
0.04,5.9361422
0.041,6.1301337
0.042,6.285327
0.043,6.4405202
0.044,6.6345118
0.045,6.7897051
0.046,6.9448983
0.047,7.1000916
0.048,7.2552849
0.049,7.4104781
0.05,7.5656714
0.051,7.7208646
0.052,7.8760579
0.053,8.0312511
0.054,8.1476461
0.055,8.3028393
0.056,8.4580326
0.057,8.5744276
0.058,8.7296208
0.059,8.8460158
0.06,8.9624107
0.061,9.117604
0.062,9.2339989
0.063,9.3503938
0.064,9.4667888
0.065,9.5831837
0.066,9.6995787
0.067,9.8547719
0.068,9.9323686
0.069,10.048764
0.07,10.12636
0.071,10.242755
0.072,10.320352
0.073,10.397948
0.074,10.514343
0.075,10.59194
0.076,10.708335
0.077,10.785931
0.078,10.863528
0.079,10.941125
0.08,11.018721
0.081,11.096318
0.082,11.135116
0.083,11.212713
0.084,11.29031
0.085,11.329108
0.086,11.406705
0.087,11.484301
0.088,11.561898
0.089,11.639494
0.09,11.717091
0.091,11.794688
0.092,11.911083
0.093,11.988679
0.094,12.066276
0.095,12.143873
0.096,12.221469
0.097,12.260267
0.098,12.337864
0.099,12.415461
0.1,12.454259
0.101,12.493057
0.102,12.570654
0.103,12.609452
0.104,12.687049
0.105,12.725847
0.106,12.764646
0.107,12.842242
0.108,12.88104
0.109,12.919839
0.11,12.997435
0.111,13.036234
0.112,13.11383
0.113,13.191427
0.114,13.230225
0.115,13.307822
0.116,13.385419
0.117,13.463015
0.118,13.501814
0.119,13.57941
0.12,13.657007
0.121,13.695805
0.122,13.773402
0.123,13.850998
0.124,13.889797
0.125,13.967393
0.126,14.04499
0.127,14.083788
0.128,14.161385
0.129,14.238981
0.13,14.27778
0.131,14.316578
0.132,14.394175
0.133,14.432973
0.134,14.471771
0.135,14.51057
0.136,14.51057
0.137,14.549368
0.138,14.588166
0.139,14.588166
0.14,14.626965
0.141,14.665763
0.142,14.665763
0.143,14.704561
0.144,14.74336
0.145,14.74336
0.146,14.782158
0.147,14.820956
0.148,14.859755
0.149,14.898553
0.15,14.937351
0.151,14.937351
0.152,14.976149
0.153,15.014948
0.154,15.053746
0.155,15.053746
0.156,15.092544
0.157,15.131343
0.158,15.170141
0.159,15.170141
0.16,15.208939
0.161,15.247738
0.162,15.247738
0.163,15.286536
0.164,15.325334
0.165,15.364133
0.166,15.402931
0.167,15.402931
0.168,15.441729
0.169,15.480528
0.17,15.480528
0.171,15.519326
0.172,15.519326
0.173,15.558124
0.174,15.558124
0.175,15.558124
0.176,15.596923
0.177,15.596923
0.178,15.596923
0.179,15.635721
0.18,15.635721
0.181,15.635721
0.182,15.635721
0.183,15.635721
0.184,15.674519
0.185,15.674519
0.186,15.674519
0.187,15.674519
0.188,15.674519
0.189,15.674519
0.19,15.674519
0.191,15.674519
0.192,15.674519
0.193,15.713317
0.194,15.713317
0.195,15.713317
0.196,15.713317
0.197,15.713317
0.198,15.713317
0.199,15.713317
0.2,15.713317
