Time (ms),Height (mm)
0,1.357941
0.2,1.3191427
0.4,1.3191427
0.6,1.3191427
0.8,1.3191427
1,1.3191427
1.2,1.3191427
1.4,1.3191427
1.6,1.3191427
1.8,1.3191427
2,1.357941
2.2,1.357941
2.4,1.357941
2.6,1.357941
2.8,1.357941
3,1.357941
3.2,1.3967393
3.4,1.3967393
3.6,1.4355376
3.8,1.3967393
4,1.3967393
4.2,1.4355376
4.4,1.474336
4.6,1.474336
4.8,1.474336
5,1.474336
5.2,1.5131343
5.4,1.5131343
5.6,1.5131343
5.8,1.5131343
6,1.5519326
6.2,1.5519326
6.4,1.5907309
6.6,1.5907309
6.8,1.5907309
7,1.5907309
7.2,1.6295292
7.4,1.6295292
7.6,1.6295292
7.8,1.6683275
8,1.6683275
8.2,1.6683275
8.4,1.6683275
8.6,1.6683275
8.8,1.6683275
9,1.6295292
9.2,1.6295292
9.4,1.6295292
9.6,1.6295292
9.8,1.6295292
10,1.6683275
10.2,1.6683275
10.4,1.6683275
10.6,1.6683275
10.8,1.7071258
11,1.7071258
11.2,1.7071258
11.4,1.7071258
11.6,1.7459242
11.8,1.7459242
12,1.7847225
12.2,1.7847225
12.4,1.7847225
12.6,1.8235208
12.8,1.8235208
13,1.8623191
13.2,1.9011174
13.4,1.9011174
13.6,1.9011174
13.8,1.9011174
14,1.9399157
14.2,1.9399157
14.4,1.9787141
14.6,1.9787141
14.8,1.9787141
15,2.0175124
15.2,2.0175124
15.4,2.0563107
15.6,2.0563107
15.8,2.095109
16,2.095109
16.2,2.1339073
16.4,2.1339073
16.6,2.095109
16.8,2.1339073
17,2.1727056
17.2,2.1727056
17.4,2.2115039
17.6,2.2503023
17.8,2.2503023
18,2.2891006
18.2,2.3278989
18.4,2.3666972
18.6,2.4054955
18.8,2.4054955
19,2.4054955
19.2,2.4442938
19.4,2.4830921
19.6,2.5218905
19.8,2.5218905
20,2.5606888
20.2,2.5606888
20.4,2.5994871
20.6,2.6382854
20.8,2.6770837
21,2.6770837
21.2,2.715882
21.4,2.715882
21.6,2.7546803
21.8,2.7934787
22,2.832277
22.2,2.8710753
22.4,2.9098736
22.6,2.9486719
22.8,2.9874702
23,3.0262685
23.2,3.0650669
23.4,3.1038652
23.6,3.1426635
23.8,3.1814618
24,3.1814618
24.2,3.2202601
24.4,3.2590584
24.6,3.2590584
24.8,3.2978568
25,3.3366551
25.2,3.3754534
25.4,3.3754534
25.6,3.4142517
25.8,3.45305
26,3.4918483
26.2,3.5306466
26.4,3.569445
26.6,3.6082433
26.8,3.6470416
27,3.6470416
27.2,3.6858399
27.4,3.7246382
27.6,3.7634365
27.8,3.8022348
28,3.8410332
28.2,3.8798315
28.4,3.9186298
28.6,3.9574281
28.8,3.9962264
29,3.9962264
29.2,4.073823
29.4,4.073823
29.6,4.1514197
29.8,4.1514197
30,4.190218
30.2,4.2290163
30.4,4.2678146
30.6,4.3066129
30.8,4.3454112
31,4.3842096
31.2,4.4230079
31.4,4.4618062
31.6,4.5006045
31.8,4.5394028
32,4.5782011
32.2,4.5782011
32.4,4.6169995
32.6,4.6557978
32.8,4.6945961
33,4.7333944
33.2,4.810991
33.4,4.8497893
33.6,4.8885877
33.8,4.927386
34,4.9661843
34.2,5.0049826
34.4,5.0437809
34.6,5.0437809
34.8,5.0825792
35,5.1213775
35.2,5.1601759
35.4,5.1989742
35.6,5.2377725
35.8,5.2765708
36,5.2765708
36.2,5.3153691
36.4,5.3541674
36.6,5.3929657
36.8,5.3929657
37,5.4317641
37.2,5.4705624
37.4,5.5093607
37.6,5.5093607
37.8,5.548159
38,5.5869573
38.2,5.6257556
38.4,5.6645539
38.6,5.7033523
38.8,5.7421506
39,5.7809489
39.2,5.8197472
39.4,5.8585455
39.6,5.8973438
39.8,5.9361422
40,5.9361422
40.2,5.9749405
40.4,6.0137388
40.6,6.0525371
40.8,6.0913354
41,6.1301337
41.2,6.168932
41.4,6.168932
41.6,6.2077304
41.8,6.2465287
42,6.285327
42.2,6.3241253
42.4,6.3629236
42.6,6.4017219
42.8,6.4017219
43,6.4405202
43.2,6.4793186
43.4,6.5181169
43.6,6.5569152
43.8,6.5957135
44,6.6345118
44.2,6.6345118
44.4,6.6733101
44.6,6.7121084
44.8,6.7509068
45,6.7897051
45.2,6.8285034
45.4,6.8673017
45.6,6.8673017
45.8,6.9061
46,6.9448983
46.2,6.9448983
46.4,6.9836966
46.6,7.022495
46.8,7.0612933
47,7.1000916
47.2,7.1388899
47.4,7.1388899
47.6,7.1776882
47.8,7.2164865
48,7.2552849
48.2,7.2940832
48.4,7.3328815
48.6,7.3328815
48.8,7.3716798
49,7.4104781
49.2,7.4492764
49.4,7.4492764
49.6,7.4880747
49.8,7.5268731
50,7.5656714
50.2,7.6044697
50.4,7.6044697
50.6,7.643268
50.8,7.6820663
51,7.7208646
51.2,7.7596629
51.4,7.7596629
51.6,7.7984613
51.8,7.8372596
52,7.8760579
52.2,7.9148562
52.4,7.9148562
52.6,7.9536545
52.8,7.9924528
53,8.0312511
53.2,8.0700495
53.4,8.0700495
53.6,8.1088478
53.8,8.1476461
54,8.1476461
54.2,8.1864444
54.4,8.2252427
54.6,8.264041
54.8,8.264041
55,8.3028393
55.2,8.3416377
55.4,8.3416377
55.6,8.380436
55.8,8.4192343
56,8.4580326
56.2,8.4580326
56.4,8.4968309
56.6,8.5356292
56.8,8.5356292
57,8.5744276
57.2,8.6132259
57.4,8.6520242
57.6,8.6520242
57.8,8.6908225
58,8.7296208
58.2,8.7684191
58.4,8.7684191
58.6,8.8072174
58.8,8.8460158
59,8.8460158
59.2,8.8848141
59.4,8.8848141
59.6,8.9236124
59.8,8.9624107
60,8.9624107
60.2,9.001209
60.4,9.0400073
60.6,9.0400073
60.8,9.0788056
61,9.117604
61.2,9.117604
61.4,9.1564023
61.6,9.1952006
61.8,9.1952006
62,9.2339989
62.2,9.2339989
62.4,9.2727972
62.6,9.3115955
62.8,9.3115955
63,9.3503938
63.2,9.3503938
63.4,9.3891922
63.6,9.4279905
63.8,9.4279905
64,9.4667888
64.2,9.5055871
64.4,9.5055871
64.6,9.5443854
64.8,9.5831837
65,9.5831837
65.2,9.621982
